"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","127418","True"
"SampleNumber","CS","MISO","MOSI","SCK"
"0000000","0","1","1","0"
"0000001","0","0","1","0"
"0000020","0","1","1","0"
"0000021","0","0","1","0"
"0000025","0","1","1","0"
"0000026","0","0","1","0"
"0000037","0","1","1","0"
"0000038","0","0","1","0"
"0000045","0","1","1","0"
"0000046","0","0","1","0"
"0000050","0","1","1","0"
"0000051","0","0","1","0"
"0000062","0","1","1","0"
"0000063","0","0","1","0"
"0000067","0","1","1","0"
"0000068","0","0","1","0"
"0000092","0","1","1","0"
"0000093","0","0","1","0"
"0000112","0","1","1","0"
"0000113","0","0","1","0"
"0000114","0","1","1","0"
"0000115","0","0","1","0"
"0000132","0","1","1","0"
"0000133","0","1","1","0"
"0000134","0","0","1","0"
"0000143","0","1","1","0"
"0000144","0","0","1","0"
"0000980","0","1","1","0"
"0000981","0","0","1","0"
"0001010","0","1","1","0"
"0001011","0","0","1","0"
"0001196","0","1","1","0"
"0001197","0","0","1","0"
"0001211","0","1","1","0"
"0001212","0","0","1","0"
"0001213","0","0","1","0"
"0001214","0","1","1","0"
"0001215","0","0","1","0"
"0001219","0","1","1","0"
"0001220","0","0","1","0"
"0001221","0","0","1","0"
"0001222","0","1","1","0"
"0001223","0","0","1","0"
"0001726","0","1","1","0"
"0001727","0","0","1","0"
"0001848","0","1","1","0"
"0001849","0","0","1","0"
"0001892","0","1","1","0"
"0001893","0","0","1","0"
"0001906","0","1","1","0"
"0001907","0","0","1","0"
"0001997","0","1","1","0"
"0001998","0","0","1","0"
"0002007","0","1","1","0"
"0002008","0","0","1","0"
"0002015","0","1","1","0"
"0002016","0","0","1","0"
"0002020","0","1","1","0"
"0002021","0","0","1","0"
"0002062","0","1","1","0"
"0002063","0","0","1","0"
"0002067","0","1","1","0"
"0002068","0","0","1","0"
"0002069","0","0","1","0"
"0002070","0","1","1","0"
"0002071","0","0","1","0"
"0002078","0","1","1","0"
"0002079","0","1","1","0"
"0002080","0","0","1","0"
"0002083","0","1","1","0"
"0002084","0","1","1","0"
"0002085","0","0","1","0"
"0002095","0","1","1","0"
"0002096","0","0","1","0"
"0002100","0","1","1","0"
"0002101","0","0","1","0"
"0002170","0","1","1","0"
"0002171","0","0","1","0"
"0002178","0","1","1","0"
"0002179","0","1","1","0"
"0002180","0","0","1","0"
"0002199","0","1","1","0"
"0002200","0","0","1","0"
"0002210","0","1","1","0"
"0002211","0","0","1","0"
"0002900","0","1","1","0"
"0002901","0","0","1","0"
"0003012","0","1","1","0"
"0003013","0","0","1","0"
"0003017","0","1","1","0"
"0003018","0","0","1","0"
"0003019","0","0","1","0"
"0003020","0","1","1","0"
"0003021","0","0","1","0"
"0003581","0","1","1","0"
"0003582","0","0","1","0"
"0003706","0","1","1","0"
"0003707","0","0","1","0"
"0003764","0","1","1","0"
"0003765","0","0","1","0"
"0003847","0","1","1","0"
"0003848","0","0","1","0"
"0003852","0","1","1","0"
"0003853","0","0","1","0"
"0003862","0","1","1","0"
"0003863","0","0","1","0"
"0003870","0","1","1","0"
"0003871","0","0","1","0"
"0003916","0","1","1","0"
"0003917","0","0","1","0"
"0003924","0","1","1","0"
"0003925","0","0","1","0"
"0003929","0","1","1","0"
"0003930","0","0","1","0"
"0003941","0","1","1","0"
"0003942","0","0","1","0"
"0003946","0","1","1","0"
"0003947","0","0","1","0"
"0003966","0","1","1","0"
"0003967","0","0","1","0"
"0003971","0","1","1","0"
"0003972","0","0","1","0"
"0003988","0","1","1","0"
"0003989","0","0","1","0"
"0004032","0","1","1","0"
"0004033","0","1","1","0"
"0004034","0","0","1","0"
"0004046","0","1","1","0"
"0004047","0","0","1","0"
"0004053","0","1","1","0"
"0004054","0","0","1","0"
"0004064","0","1","1","0"
"0004065","0","0","1","0"
"0004809","0","1","1","0"
"0004810","0","0","1","0"
"0004870","0","1","1","0"
"0004871","0","0","1","0"
"0004900","0","1","1","0"
"0004901","0","0","1","0"
"0004907","0","1","1","0"
"0004908","0","0","1","0"
"0004915","0","1","1","0"
"0004916","0","0","1","0"
"0005594","0","1","1","0"
"0005595","0","0","1","0"
"0005780","0","1","1","0"
"0005781","0","0","1","0"
"0005822","0","1","1","0"
"0005823","0","0","1","0"
"0005827","0","1","1","0"
"0005828","0","0","1","0"
"0005832","0","1","1","0"
"0005833","0","0","1","0"
"0005845","0","1","1","0"
"0005846","0","0","1","0"
"0005850","0","1","1","0"
"0005851","0","0","1","0"
"0005852","0","1","1","0"
"0005853","0","1","1","0"
"0005854","0","0","1","0"
"0005855","0","1","1","0"
"0005856","0","0","1","0"
"0005884","0","1","1","0"
"0005885","0","0","1","0"
"0005886","0","0","1","0"
"0005887","0","1","1","0"
"0005888","0","0","1","0"
"0005892","0","1","1","0"
"0005893","0","0","1","0"
"0005908","0","1","1","0"
"0005909","0","0","1","0"
"0005912","0","1","1","0"
"0005913","0","0","1","0"
"0005917","0","1","1","0"
"0005918","0","0","1","0"
"0005919","0","0","1","0"
"0005920","0","1","1","0"
"0005921","0","0","1","0"
"0005925","0","1","1","0"
"0005926","0","0","1","0"
"0005945","0","1","1","0"
"0005946","0","0","1","0"
"0005950","0","1","1","0"
"0005951","0","0","1","0"
"0005962","0","1","1","0"
"0005963","0","0","1","0"
"0005987","0","1","1","0"
"0005988","0","0","1","0"
"0005992","0","1","1","0"
"0005993","0","0","1","0"
"0006012","0","1","1","0"
"0006013","0","0","1","0"
"0006014","0","1","1","0"
"0006015","0","0","1","0"
"0006016","0","0","1","0"
"0006017","0","1","1","0"
"0006018","0","0","1","0"
"0006032","0","1","1","0"
"0006033","0","1","1","0"
"0006034","0","0","1","0"
"0006043","0","1","1","0"
"0006044","0","0","1","0"
"0006584","0","1","1","0"
"0006585","0","0","1","0"
"0006709","0","1","1","0"
"0006710","0","0","1","0"
"0006734","0","1","1","0"
