"SamplePeriod","TriggerSample","CompressedData"
"0.000000005","630293644","True"
"SampleNumber","CS_A","CS_B","SCK_A","MOSI_A","MISO_B","MISO_A","SCK_B","MOSI_B"
"000000000","0","0","0","0","0","0","0","0"
"100000001","1","0","0","0","0","0","0","0"
"100000002","1","1","0","0","0","0","0","0"
"100013667","0","1","0","0","0","0","0","0"
"100013668","0","0","0","0","0","0","0","0"
"630293644","0","0","1","0","0","0","0","0"
"630293645","0","0","1","0","0","0","1","0"
"630293648","0","0","0","0","1","0","1","0"
"630293649","0","0","0","0","1","1","0","0"
"630293650","0","0","0","0","1","1","0","0"
"630293651","0","0","0","0","1","1","0","0"
"630293652","0","0","0","0","1","1","0","0"
"630293653","0","0","1","1","1","1","1","1"
"630293656","0","0","0","1","0","1","1","1"
"630293657","0","0","0","1","0","0","0","1"
"630293660","0","0","0","0","0","0","0","1"
"630293661","0","0","1","0","0","0","1","0"
"630293664","0","0","0","0","1","0","1","0"
"630293665","0","0","0","0","1","1","0","0"
"630293669","0","0","1","1","1","1","1","1"
"630293672","0","0","1","1","0","1","1","1"
"630293673","0","0","0","1","0","0","0","1"
"630293677","0","0","1","0","0","0","1","0"
"630293680","0","0","1","0","1","0","1","0"
"630293681","0","0","0","0","1","1","0","0"
"630293685","0","0","1","1","1","1","0","1"
"630293686","0","0","1","1","1","1","1","1"
"630293687","0","0","1","1","1","1","1","1"
"630293688","0","0","1","1","0","1","1","1"
"630293689","0","0","0","1","0","0","0","1"
"630293693","0","0","1","0","0","0","0","0"
"630293694","0","0","1","0","0","0","1","0"
"630293695","0","0","1","0","0","0","1","0"
"630293696","0","0","1","0","1","0","1","0"
"630293697","0","0","0","0","1","0","1","0"
"630293698","0","0","0","0","1","1","0","0"
"630293701","0","0","1","1","1","1","0","0"
"630293702","0","0","1","1","1","1","1","1"
"630293703","0","0","1","1","1","1","1","1"
"630293704","0","0","1","1","0","1","1","1"
"630293705","0","0","0","1","0","0","1","1"
"630293706","0","0","0","1","0","0","0","1"
"630293709","0","0","0","0","0","0","0","1"
"630293710","0","0","0","0","0","0","0","0"
"732687394","0","0","0","0","0","0","0","0"
